,numero,latitud,longitud,fecha,tmax,tmin,GDDR,GDDTS,GDDSS
48,22581,22.16502778,-102.2951944,2003-06-18 00:00:00,26.9,13.4,6.199999999999999,7.586666666666666,7.23191576579959
49,22581,22.16502778,-102.2951944,2003-06-19 00:00:00,28.9,14.0,6.5,8.281879194630871,7.802137077656045
50,22581,22.16502778,-102.2951944,2003-06-20 00:00:00,30.4,17.3,8.149999999999999,9.75992366412214,9.322575209062643
51,22581,22.16502778,-102.2951944,2003-06-21 00:00:00,29.9,15.9,7.449999999999999,9.199642857142857,8.721677977571778
52,22581,22.16502778,-102.2951944,2003-06-22 00:00:00,27.6,15.0,7.0,8.46031746031746,8.07122950454839
53,22581,22.16502778,-102.2951944,2003-06-23 00:00:00,28.7,16.9,7.949999999999999,9.42330508474576,9.020953574426722
54,22581,22.16502778,-102.2951944,2003-06-24 00:00:00,28.4,16.8,7.899999999999999,9.343103448275864,8.949467301712133
55,22581,22.16502778,-102.2951944,2003-06-25 00:00:00,28.8,15.4,7.199999999999999,8.844776119402987,8.398112757089155
56,22581,22.16502778,-102.2951944,2003-06-26 00:00:00,29.6,12.9,5.949999999999999,7.9458083832335324,7.408588184065705
57,22581,22.16502778,-102.2951944,2003-06-27 00:00:00,27.3,13.8,6.399999999999999,7.865185185185186,7.483298482553369
58,22581,22.16502778,-102.2951944,2003-06-28 00:00:00,29.3,12.0,5.5,0.0,6.969429597132239
59,22581,22.16502778,-102.2951944,2003-06-29 00:00:00,29.0,13.7,6.350000000000001,8.173529411764708,7.683125111870991
60,22581,22.16502778,-102.2951944,2003-06-30 00:00:00,23.5,14.9,6.949999999999999,7.185465116279069,7.148535449165512
61,22581,22.16502778,-102.2951944,2003-07-01 00:00:00,24.3,14.3,6.649999999999999,7.2155000000000005,7.098378371574579
62,22581,22.16502778,-102.2951944,2003-07-02 00:00:00,24.4,14.6,6.800000000000001,7.4,7.272067359362026
63,22581,22.16502778,-102.2951944,2003-07-03 00:00:00,22.8,13.8,6.300000000000001,6.300000000000001,6.300000000000001
64,22581,22.16502778,-102.2951944,2003-07-04 00:00:00,23.4,14.5,6.75,6.941011235955055,6.913851664525142
65,22581,22.16502778,-102.2951944,2003-07-05 00:00:00,24.9,14.8,6.899999999999999,7.671287128712873,7.493249111115785
66,22581,22.16502778,-102.2951944,2003-07-06 00:00:00,22.8,14.4,6.600000000000001,6.600000000000001,6.600000000000001
67,22581,22.16502778,-102.2951944,2003-07-07 00:00:00,22.2,14.9,6.550000000000001,6.550000000000001,6.550000000000001
68,22581,22.16502778,-102.2951944,2003-07-08 00:00:00,26.0,15.0,7.0,8.090909090909092,7.815137002652875
69,22581,22.16502778,-102.2951944,2003-07-09 00:00:00,24.0,14.6,6.800000000000001,7.2468085106382985,7.160055156007969
70,22581,22.16502778,-102.2951944,2003-07-10 00:00:00,25.6,14.5,6.75,7.745495495495496,7.502396391522879
71,22581,22.16502778,-102.2951944,2003-07-11 00:00:00,26.0,11.7,5.5,6.538461538461539,6.271948667287425
72,22581,22.16502778,-102.2951944,2003-07-12 00:00:00,27.5,10.2,5.5,6.358381502890173,6.097065849256786
